Business Req ID,User Story,Acceptance Criteria,Human Grade,AI Graded,Human Comments,Ai Comments,
OAO-02.03_US-11c,"As a
KIS FO user
I want
the Reg BI PDF data to be sent to Net X from Salesforce at the time of SSO launch into Net X
So that
the Reg BI documentation is made available in Net X","Given
Reg BI process is completed
When
advisor SSO’s into Net X fromSalesforce
Then
the appropriate client account’s Reg BI data should be sent for accessing the document in NetX",B,B,AC: examples of pre-fill data including data validation errors,"Explanation: The requirement has a clear user story and scope but the acceptance criteria is too high-level. To reach Grade A, the 'Then' clause should be expanded into specific, verifiable outcomes, detailing what 'appropriate client account's Reg BI data' includes and how to confirm it was successfully sent.",
OAO-02.03_US-13,"As a
KIS FO user
I want
all documentation for opening a new client managed/non-account to be made available within Net X
So that
CSG can review them.","Given
KIS client onboarding workflows are being updated
When
all documentation from client and KIS FO user has been completed and returned for opening a managed/non-managed account
Then
all such the documentation must be made available in Net X for CSG’s review.",B,B,Specify document types,"Explanation: This requirement earns a B because it contains all the required sections, but the acceptance criteria are too high-level and essentially just restate the story. To reach an A, the criteria must be more specific, detailing exactly what documentation is included, how it's made available in Net X, and what the CSG review interface looks like.",
OAO-02.03_US-14,"As a
KIS FO user
I want
the ability to pause onboarding process at any time
So that
I am able to resume from where I left, at any point intime.","Given
KIS client onboarding workflows are being updated
When
the advisor completes any step in the onboarding process
Then
they should be able to pause the onboarding process at any time
And
be able to resume from where they left, at any point in time.",A,B,,"Explanation: The requirement has a clear user story and an acceptance criteria section, but the criteria are too high-level. They simply restate the user story's goal rather than providing specific, testable outcomes, such as how a user pauses or what the resume flow looks like. To reach an A, the ACs must detail the specific user actions and system responses (e.g., 'When the user clicks the Save & Exit button, their progress is saved').",
ARC-01.01_US-01e,"As a 
Key Wealth User
I want 
to identify all of the different unique wealth roles that exist across the FO,MO, and BO, and their capabilities 
So that 
I can ensure all roles and capabilities are considered when designing the future state","Given 
there currently exist various unique roles across Key Wealth and they all have different capabilities 
When we identify all of these roles and capabilities
Then we should have full coverage of every single role
AND know what their job requires them to do
AND there should not be a single role that isn’t convered",D,F,Sounds more like a spike ,"Explanation: This requirement is graded F because it describes a business analysis or discovery task, not an actionable software feature. The acceptance criteria are untestable goals for a research activity, and the 'want' is not something a development team can build in the software. This discovery work must be completed first to generate specific, buildable user stories.",
ARC-05.01_US-01,"As a 
Key Wealth User
I want 
to ensure that I can SSO from various applications, directly to Envestnet
So that 
I launch directly from those applications to ENV in-context","Given 
an Envestnet user is in another wealth application
When 
a user wants to that application to launch Envestnet
Then 
the user should be able to SSO from that application to the appropriate screen in Envestnet",A,C,,"Explanation: This requirement has the correct structure but lacks the necessary detail for a team to begin work, as the scope is undefined. It refers to 'various applications' without listing them and an 'appropriate screen' without defining what that means or under what conditions a user lands there. To reach Grade A, the acceptance criteria must specify each source application and the exact destination screen within Envestnet for each context.","These 3 looks like there was an input error before grading, not counting this against it. "
ARC-05.02_US-01,"As a 
Key Wealth FO user
I want 
to be able to SSO from an in-progress proposal in SF, directly to that same proposal in Envestnet
So that 
I do not have to perform more actions to get from the proposal in SF, to that same proposal in Envestnet","Given
there is already an in-progress proposal in SF
When
the user is in that specific client’s profile in SF
Then
they should be able to SSO from the proposal in SF, directly to that same proposal in Envestnet",A,C,,,
ARC-O5.03_US-01,"As a 
Key Wealth FO user
I want 
to be able to SSO from my SF homepage to a list of all my open proposals, in Envestnet
So that I can easily access and follow-up on all my ongoing proposals","Given
the user in Salesforce has open proposals in Envestnet
When
that user wishes to see a list of all open Envestnet proposals
Then
they should be able to SSO from the SF homepage to a list of all open proposals in Envestnet",A,C,,,
ARC-06.02_US-05,"As a 
Key Wealth User
I want 
to ensure that data within the DSC including ENV enriched Key data is available to B2C and includes managed flag indicators
So that 
actions in other systems can be automatically reconciled within B2C","Given
Envestnet-enriched Key datais stored within DSC
When
this data is required by Salesforce (B2C)
Then
this data should be availablefor ingestion from DSC, and includemanage flag indicators",B,B,There are lots of UMP data comes to DSC.,"Explanation: The requirement receives a B because it includes a user story and acceptance criteria, but key details are too high-level for immediate implementation. To reach grade A, the acceptance criteria must specify the data transfer method (e.g., API, batch job), the exact data fields, and define the 'managed flag indicators'.",
ARC-07.01_US-01,"As a 
KIS FO User accessing a specific client/household profile in Salesforce
I want 
to ensure that I am being notified on Salesforce, MAR was completed
So that I am notified of an pending due, or overdue MAR ","Given
a FO user is on a specific client/house hold profile in Salesforce
Then
I should be notified on SF see that a new MAR is due
AND
the notification should specify in how many days the MAR is due, oris overdue",B,B,"Define type of notification, email, pop-up etc.","Explanation: The requirement has a user story and acceptance criteria, but lacks specific details on how the user should be notified (e.g., a banner, a toast notification, a specific component). To reach Grade A, the acceptance criteria must define the exact type, location, and content of the notification, and the user story should be clarified for better readability.",
ARC-07.01_US-04,"As a 
Key FO user
I want 
to only be able to complete MARs in Envestnet
So that 
there is a single system in which MARs are completed","Given
MARs capability in Envestnet is fully functional
When
I attempt to complete a MAR on SF
Then
I should not be able to complete any part of MAR on SF
AND
I should only be notified on SF",A,B,,"Explanation: The requirement has a clear user story and acceptance criteria, but lacks some specific details. The criteria 'I should not be able to complete any part of MAR on SF' and 'I should only be notified on SF' are high-level. To reach an 'A', the requirement should specify exactly how the feature is disabled (e.g., buttons removed, fields read-only) and what the notification message on SF should say.",
ARC-07.01_US-09,"As a
Key Wealth User
I want
the historical records of MARS that will not be migrated to Envestnet, to remain in Salesforce
So that
a historical record will persist for audit and compliance purposes","Given
only MARS post 31/12/2024 will be migrated to Envestnet
When
the MARS
pre
31/12/2024 are not migrated
Then
they should remain in SF in the current form.
AND should persist as per the required records retention policies",A,B,,"Explanation: The requirement is mostly clear with a proper user story and acceptance criteria. However, it earns a B because the final acceptance criterion, 'should persist as per the required records retention policies', is too high-level and requires the tech team to seek external clarification. To reach an A, the specific retention policies (e.g., 'data must be retained for 7 years') should be explicitly stated.",
ARC-10.01_US-01,"As a 
Key Wealth User
I want 
to ensure that I cannot override (on SF) information that is being displayed on SF, that is being sourced from a core system
So that 
I am not changing information on a consuming system while the core system remains inaccurate","Given 
there is data being displayed on SF that is sourced from a different core system
When 
that data is incorrect
Then 
I must not be allowed to overwrite that information in SF
directly
AND
I must be able to update the information in the source core
system in an authenticated manner",B,C,Add authenticated update paths.,"Explanation: This requirement earns a C because while it has a clear user story, the acceptance criteria are not functional and merely restate the goa lTo reach Grade A it needs specific testable criteri",
ARC-10.02_US-01,"As a
Key Wealth User
I want
to cleanup all source systems' householding information
So that
we can ensure accuracy of the custom householding file that we will feed to Envestnet (one-time activity)","Given
house holding information currently exists in disparate systems
AND
we will be using that information to create the one-time custom householding file that we will be feeding to Envestnet
Then
we should clean up all householding data prior to using that same data to establish the one-time custom house holding file",C,C,Examples of clean up data. ,"Explanation: This requirement earns a C because while it has a clear user story, the acceptance criteria are notfunctionalandmerelyrestatethegoalToreachGradeAitneedsspecifictestablecriteriath",
ARC-10.03_US-01-1,"As a
Key FO user
I want
the Client Contact Record updated in Salesforce when an annual Managed Account Review (MARS) is completed in Envestnet
So that
the Client Contact Record is kept up to date with changes to a Client’s account","Given
An account requires an annual MARS (Managed Account Review)
When
The annual MARS (Managed Account Review) has been completed in Envestnet
Then
I should see Client Contact Record in Salesforce updated showing the annual MARS(Managed Account Review) was completed",B,B,,"Explanation: The requirement has a clear user story and scope, but the acceptance criteria are too high-level. It states the record should be 'updated' but does not specify which fields, what the new values should be, or the exact trigger. To reach Grade A, the criteria must be specific (e.g., 'Then the 'Last MARS Completion Date' field on the Salesforce Contact record is updated to today's date').",
ARC-10.03_US-01-2,"As a
Key FO user
I want
the Client Contact Record updated in Salesforce when a financial plan is created in MoneyGuide Pro
So that
the Client Contact Record is kept up to date with changes to a Client’s account","Given
An Advisor needs to create a financial plan for a Client
When
A financial plan is created
Then
I should see the Client Contact Record in Salesforce updated showing a financial plan was created in MoneyGuide Pro",B,B,,"Explanation: The requirement has a clear user story and scope, but the acceptance criteria are too high-level. To reach an 'A', the criteria must specify exactly which fields on the Salesforce Client Contact Record are updated and what their new values or content should be.",
ARC-10.03_US-01-3,"As a
Key Private Client Advisor
I want
Salesforce to generate a “to-do” follow-up action to meet with client in
'X'
number of days post MARS (ManagedAccount Review) completion,or allow me to manually select a time period for follow-up
So that
I am reminded to meet with the Client post-MARS.","Given
I have completed a MARS
When
The Statement of Investment Selection change is completed in Envestnet
Then
I should receive a “to-do” follow-up action reminder in Salesforce X number of days post MARS completion or, if I manually chose a number of days to follow-up, I should receive a “to-do” follow-up action reminder based on that selection",B,B,,"Explanation: The requirement includes a user story and acceptance criteria, but contains placeholder language ('X' number of days) for a critical value. To reach Grade A, the default value for 'X' must be defined, and the mechanism for a user to manually select a time period should be specified.",
ARC-10.03_US-01-4,"As a
Key FO user
I want
the Salesforce Client Contact Record updated if there is a Statement of Investment Selection change event in Envestnet
So that
the Client Contact Record is kept up to date with changes to a Client’s account","Given
There is a change to the Statement of Investment Selection
When 
The Statement of Investment Selection change is completed in Envestnet
Then
I should see the Client Contact Record in Salesforce updated showing there was a change to the Statement of Investment Selection",B,B,,"Explanation: This requirement has a clear user story and scope, but the acceptance criteria are too high-level. To reach Grade A, the 'Then' clause must be more specific about exactly what fields in the Salesforce record are updated and what information they will contain.",
ARC-10.04_US-01,"As a 
Salesforce user
I want 
to ensure that all values that I am seeing on Salesforce, are accurate as of when I am seeing them 
So that 
there is no discrepancy between values in Salesforce and other
systems","Given
a value is being loaded from DSC and being displayed in Salesforce
When
that value is being displayed in Salesforce
Then
that value should be accurately displayed with the latest information",B,C,,"Explanation: The requirement has the correct structure, but its scope is too broad and undefined, referring to 'all values' in Salesforce. To reach Grade A, it must specify the exact fields, pages, or components to be updated and define 'accurate' with measurable criteria (e.g., data syncs within 5 minutes from system X)",
ARC-11.02_US-02,"As a 
Key Wealth User
I want 
to capture the ASPV 13-05 and 13-12 records for Agent & Communication information 
So that 
we can support the Salesforce and hierarchy file build","Given 
Key Bank deals in Annuities
When 
we receive all the Annuities files
Then 
we should capture the ASPV 13-05 and 13-12 records for Agent & Communication information",B,B,List specific fields for accuracy,"Explanation: The requirement has a well-formed user story and an acceptance criteria section is present. However, the acceptance criteria are high-level, merely restating the goal without providing specific, verifiable outcomes. To reach grade A, the AC needs to be expanded with details on how the capture can be verified, such as the target system, specific fields, or success logs.",
ARC-11.02_US-03,"As a 
Salesforce user
I want 
to ensure that all relevant annuities data is being reflected in Salesforce
So that 
I can get an accurate picture of my clients' invested assets","Given
all required Annuities data exists in DSC
When
there are any relevant fields in Salesforce that should be considering Annuities data
Then
I would expect Salesforce to consider and reflect Annuities data in all values being presented to the advisor in SF",B,C,List specific fields for accuracy,"Explanation: This requirement receives a 'C' because its scope is undefined, as it refers to ""all relevant annuities data"" and ""any relevant fields"" without specifics. The acceptance criteria are too high-level and simply restate the goal rather than providing testable conditions. To reach an 'A', the requirement must explicitly list the specific Salesforce fields to be updated and the corresponding source data points from the DSC system.",
ARC-11.03_US-03,"As a 
Salesforce user
I want 
to ensure that all relevant fund direct data is being reflected in Salesforce
So that 
I can get an accurate picture of my clients' invested assets","Given
all required Fund Direct data exists in DSC
When
there are any relevant fields in Salesforce that should be considering Fund Directdata
Then
I would expect Salesforce to consider and reflect Fund direct data in all values being presented to the advisor in SF",B,C,List specific fields for accuracy,"Explanation: The requirement has a clear user story, but the acceptance criteria and scope are too vague to be actionable. To reach Grade A, it must be updated to specify exactly which data fields from DSC should be reflected in which specific Salesforce components or fields.",
PMR-02.10_US-04,"As a 
Front Office User
I want 
the capability to easily send my client relevant CIO/Firm collateral education and enrichment materials
So that 
they can be informed on products and market trends","Given
I am a Front Office User
When
I need to send my client any relevant CIO/Firm collateral education and enrichment materials
Then
I should have the ability to send only information I deem relevant to my Client",B,C,Define relevant via filters or selection UI in Acceptance Criteria. ,"Explanation: The requirement has a clear user story but fails to provide actionable acceptance criteria, instead just restating the user's goal. To reach grade A, the acceptance criteria must be expanded with specific, testable details about the user flow, and the scope needs to be defined by referencing the specific pages or components involved.",
